model,accuracy_mean,accuracy_std,avg_confidence_mean,avg_confidence_std,ece_mean,ece_std,latency_us_per_example_mean,latency_us_per_example_std
ebm_full_context_reranker,1.0,0.0,0.08061744789631518,0.0,0.9193825521036848,0.0,13.444594557707509,3.5290097137414955
ebm_recent_only_reranker,0.0758,0.04279672884695745,0.07077499999999995,0.0006152573987094164,0.03404166666666664,0.02681267104754219,9.54212493573626,1.302342256455709
recurrent_last16,0.3532,0.3269497820766975,0.3375612499999984,0.30910666183222385,0.02197625000000154,0.014936403847510006,3.1181195129950843,1.1187766636348795
transformer_attention_lookup,1.0,0.0,0.9900000000000061,0.0,0.009999999999993903,0.0,4.290210890273253,4.220132405063725
