dataset,position,perturbation,typo10,model,style,rows,uniq,annot,pipe_n,pipe_rate,pipe_unannot,strict_n,strict_rate,cc_n,cc_rate
awps,copy,random,0,gpt-4-0314,sbs,295,295,295,295,99.32,0,295,99.32,295,99.32
awps,copy,random,0,gpt-4-0314,sbs_recovery,295,295,295,295,98.64,0,295,98.64,295,98.64
awps,copy,random,1,gpt-3.5-turbo-0301,sbs,281,281,2,281,79.0,279,2,100.0,2,100.0
awps,copy,random,1,gpt-4-0314,sbs,295,295,295,295,99.32,0,295,99.32,295,99.32
awps,propcalc,add1,0,gpt-4-0314,sbs,295,295,295,295,33.56,0,295,33.56,295,32.88
awps,propcalc,add101,0,gpt-4-0314,sbs,295,295,295,295,94.92,0,295,94.92,295,95.25
awps,propcalc,random,0,gpt-3.5-turbo-0301,sbs,288,288,288,280,15.0,0,280,15.0,280,15.0
awps,propcalc,random,0,gpt-3.5-turbo-0301,sbs_recovery,288,288,0,280,15.71,280,280,15.71,0,
awps,propcalc,random,0,gpt-4-0314,sbs,295,295,295,295,32.54,0,295,32.54,295,32.54
awps,propcalc,random,0,gpt-4-0314,sbs_recovery,295,295,295,295,39.66,0,295,39.66,295,39.66
awps,propcalc,random,1,gpt-3.5-turbo-0301,sbs,280,280,15,280,15.71,265,15,0.0,15,0.0
awps,propcalc,random,1,gpt-4-0314,sbs,295,295,295,295,52.2,0,295,52.2,295,52.2
gsm8k,calc,add1,0,claude-3-opus-20240229,sbs,299,299,299,223,67.71,0,223,67.71,223,67.71
gsm8k,calc,add1,0,gpt-4-0314,sbs,595,595,296,529,81.66,299,230,79.57,230,79.13
gsm8k,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,sbs,298,298,298,271,31.73,0,271,31.73,271,31.73
gsm8k,calc,add101,0,claude-3-opus-20240229,sbs,299,299,299,223,89.69,0,223,89.69,223,89.69
gsm8k,calc,add101,0,gpt-4-0314,sbs,328,328,295,260,96.92,33,227,97.8,227,97.8
gsm8k,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,sbs,298,298,298,271,79.34,0,271,79.34,271,79.34
gsm8k,calc,random,0,claude-3-opus-20240229,sbs,299,299,299,220,69.55,0,220,69.55,220,69.55
gsm8k,calc,random,0,claude-3-opus-20240229,sbs_recovery,299,299,299,220,76.82,0,220,76.82,220,76.82
gsm8k,calc,random,0,gpt-3.5-turbo-0301,sbs,276,276,276,266,10.53,0,266,10.53,266,10.15
gsm8k,calc,random,0,gpt-3.5-turbo-0301,sbs_recovery,276,276,172,263,13.69,101,263,13.69,162,14.2
gsm8k,calc,random,0,gpt-4-0314,sbs,258,258,255,227,78.85,3,224,78.57,224,78.57
gsm8k,calc,random,0,gpt-4-0314,sbs_recovery,258,258,258,227,80.18,0,227,80.18,227,80.18
gsm8k,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs,298,298,298,263,42.21,0,263,42.21,263,42.21
gsm8k,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs_recovery,298,298,298,263,42.59,0,263,42.59,263,42.59
gsm8k,calc,random,1,claude-3-opus-20240229,sbs,290,290,290,220,98.64,0,220,98.64,220,98.64
gsm8k,calc,random,1,gpt-3.5-turbo-0301,sbs,828,552,2,818,16.75,815,2,0.0,2,0.0
gsm8k,calc,random,1,gpt-4-0314,sbs,513,513,513,451,83.59,0,451,83.59,451,83.59
gsm8k,calc,random,1,meta-llama/Llama-3-70b-chat-hf,sbs,292,292,292,262,52.29,0,262,52.29,262,52.29
gsm8k,copy,add1,0,gpt-4-0314,sbs,295,295,295,292,96.92,0,292,96.92,292,96.92
gsm8k,copy,add101,0,gpt-4-0314,sbs,295,295,295,293,96.93,0,293,96.93,293,96.93
gsm8k,copy,random,0,gpt-3.5-turbo-0301,sbs,300,300,300,292,65.07,0,292,65.07,292,64.38
gsm8k,copy,random,0,gpt-3.5-turbo-0301,sbs_recovery,300,300,0,292,66.1,292,292,66.1,0,
gsm8k,copy,random,0,gpt-4-0314,sbs,295,295,295,279,95.34,0,279,95.34,279,94.98
gsm8k,copy,random,0,gpt-4-0314,sbs_recovery,295,295,295,279,91.76,0,279,91.76,279,92.83
gsm8k,copy,random,1,gpt-3.5-turbo-0301,sbs,565,298,0,557,70.92,557,31,70.97,0,
gsm8k,copy,random,1,gpt-4-0314,sbs,295,295,295,279,95.7,0,279,95.7,279,96.42
gsm8k,propcalc,add1,0,gpt-4-0314,sbs,294,294,294,294,23.81,0,294,23.81,294,23.81
gsm8k,propcalc,add101,0,gpt-4-0314,sbs,294,294,294,293,63.48,0,293,63.48,293,64.16
gsm8k,propcalc,random,0,gpt-3.5-turbo-0301,sbs,294,294,294,292,5.82,0,292,5.82,292,5.82
gsm8k,propcalc,random,0,gpt-3.5-turbo-0301,sbs_recovery,294,294,182,292,9.93,111,292,9.93,181,7.73
gsm8k,propcalc,random,0,gpt-4-0314,sbs,266,266,266,242,26.45,0,242,26.45,242,26.45
gsm8k,propcalc,random,0,gpt-4-0314,sbs_recovery,266,266,266,242,30.99,0,242,30.99,242,30.99
gsm8k,propcalc,random,1,gpt-3.5-turbo-0301,sbs,586,294,0,584,7.02,584,2,0.0,0,
gsm8k,propcalc,random,1,gpt-4-0314,sbs,266,266,266,242,51.24,0,242,51.24,242,51.24
svamp,calc,add1,0,claude-3-opus-20240229,sbs,289,289,289,272,58.09,0,272,58.09,272,58.09
svamp,calc,add1,0,gpt-4-0314,sbs,473,473,473,462,75.32,0,462,75.32,462,75.32
svamp,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,sbs,291,291,291,284,62.32,0,284,62.32,284,62.32
svamp,calc,add101,0,claude-3-opus-20240229,sbs,289,289,289,272,83.09,0,272,83.09,272,83.09
svamp,calc,add101,0,gpt-4-0314,sbs,473,473,473,462,93.51,0,462,93.51,462,93.51
svamp,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,sbs,291,291,291,284,93.31,0,284,93.31,284,93.31
svamp,calc,random,0,claude-3-opus-20240229,sbs,289,289,289,269,62.45,0,269,62.45,269,62.45
svamp,calc,random,0,claude-3-opus-20240229,sbs_recovery,289,289,289,269,75.09,0,269,75.09,269,75.09
svamp,calc,random,0,gpt-3.5-turbo-0301,sbs,291,291,291,246,16.67,0,246,16.67,246,16.67
svamp,calc,random,0,gpt-3.5-turbo-0301,sbs_recovery,291,291,0,246,19.51,246,246,19.51,0,
svamp,calc,random,0,gpt-4-0314,sbs,290,290,290,266,78.57,0,266,78.57,266,78.57
svamp,calc,random,0,gpt-4-0314,sbs_recovery,290,290,290,266,85.71,0,266,85.71,266,85.71
svamp,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs,291,291,291,281,73.31,0,281,73.31,281,73.31
svamp,calc,random,0,meta-llama/Llama-3-70b-chat-hf,sbs_recovery,291,291,291,281,67.62,0,281,67.62,281,67.62
svamp,calc,random,1,claude-3-opus-20240229,sbs,284,284,284,269,98.51,0,269,98.51,269,98.51
svamp,calc,random,1,gpt-3.5-turbo-0301,sbs,478,478,2,476,20.38,476,0,,0,
svamp,calc,random,1,gpt-4-0314,sbs,447,447,447,439,90.21,0,439,90.21,439,90.21
svamp,calc,random,1,meta-llama/Llama-3-70b-chat-hf,sbs,291,291,291,281,81.85,0,281,81.85,281,81.85
svamp,copy,add1,0,gpt-4-0314,sbs,263,263,263,263,98.86,0,263,98.86,263,98.86
svamp,copy,add101,0,gpt-4-0314,sbs,263,263,263,262,98.85,0,262,98.85,262,98.85
svamp,copy,random,0,gpt-3.5-turbo-0301,sbs,300,300,300,284,70.77,0,284,70.77,284,70.77
svamp,copy,random,0,gpt-3.5-turbo-0301,sbs_recovery,300,300,0,284,69.72,284,284,69.72,0,
svamp,copy,random,0,gpt-4-0314,sbs,263,263,263,262,97.71,0,262,97.71,262,97.71
svamp,copy,random,0,gpt-4-0314,sbs_recovery,263,263,263,262,99.24,0,262,99.24,262,99.24
svamp,copy,random,1,gpt-3.5-turbo-0301,sbs,271,271,2,271,78.6,269,2,100.0,2,100.0
svamp,copy,random,1,gpt-4-0314,sbs,255,255,255,255,99.22,0,255,99.22,255,99.22
svamp,propcalc,add1,0,gpt-4-0314,sbs,235,235,235,235,39.57,0,235,39.57,235,39.57
svamp,propcalc,add101,0,gpt-4-0314,sbs,235,235,235,235,89.79,0,235,89.79,235,89.79
svamp,propcalc,random,0,gpt-3.5-turbo-0301,sbs,281,281,281,273,5.49,0,273,5.49,273,5.49
svamp,propcalc,random,0,gpt-3.5-turbo-0301,sbs_recovery,281,281,0,273,8.42,273,273,8.42,0,
svamp,propcalc,random,0,gpt-4-0314,sbs,235,235,235,235,54.47,0,235,54.47,235,54.47
svamp,propcalc,random,0,gpt-4-0314,sbs_recovery,235,235,235,235,65.11,0,235,65.11,235,65.11
svamp,propcalc,random,1,gpt-3.5-turbo-0301,sbs,273,273,0,273,7.33,273,0,,0,
svamp,propcalc,random,1,gpt-4-0314,sbs,235,235,235,235,73.62,0,235,73.62,235,73.62
