file,dataset,position,perturbation,typo10,model,rows,unique,unique_annotated,pipe_n,pipe_rate,strict_n,strict_rate,blankok_n,blankok_rate,cc_n,cc_rate
MultiArith_adjusted_position-calc_perturbation-random_annotated.csv,awps,calc,random,0,meta-llama/Llama-3-70b-chat-hf,584,584,584,289,55.36,578,56.57,578,56.57,578,56.57
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,gpt-3.5-turbo-0301,320,320,1,320,24.06,1,0.0,320,24.06,1,0.0
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,gpt-4-0314,256,256,256,253,88.14,253,88.14,253,88.14,253,87.75
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,claude-3-opus-20240229,289,289,289,282,100.0,282,100.0,282,100.0,282,100.0
MultiArith_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,calc,random,1,meta-llama/Llama-3-70b-chat-hf,291,291,291,289,60.55,289,60.55,289,60.55,289,60.55
MultiArith_adjusted_position-copy_perturbation-add101_annotated.csv,awps,copy,add101,0,gpt-4-0314,295,295,295,288,99.65,288,99.65,288,99.65,288,99.65
MultiArith_adjusted_position-copy_perturbation-add1_annotated.csv,awps,copy,add1,0,gpt-4-0314,295,295,295,288,97.57,288,97.57,288,97.57,288,97.57
MultiArith_adjusted_position-copy_perturbation-random_annotated.csv,awps,copy,random,0,gpt-3.5-turbo-0301,592,592,296,288,77.78,576,74.48,576,74.48,288,77.78
MultiArith_adjusted_position-copy_perturbation-random_annotated.csv,awps,copy,random,0,gpt-4-0314,590,590,590,295,99.32,590,98.98,590,98.98,590,98.98
MultiArith_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,copy,random,1,gpt-3.5-turbo-0301,281,281,2,281,79.0,2,100.0,281,79.0,2,100.0
MultiArith_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,copy,random,1,gpt-4-0314,295,295,295,295,99.32,295,99.32,295,99.32,295,99.32
MultiArith_adjusted_position-propcalc_perturbation-add101_annotated.csv,awps,propcalc,add101,0,gpt-4-0314,295,295,295,295,94.92,295,94.92,295,94.92,295,95.25
MultiArith_adjusted_position-propcalc_perturbation-add1_annotated.csv,awps,propcalc,add1,0,gpt-4-0314,295,295,295,295,33.56,295,33.56,295,33.56,295,32.88
MultiArith_adjusted_position-propcalc_perturbation-random_annotated.csv,awps,propcalc,random,0,gpt-3.5-turbo-0301,576,576,288,280,15.0,560,15.36,560,15.36,280,15.0
MultiArith_adjusted_position-propcalc_perturbation-random_annotated.csv,awps,propcalc,random,0,gpt-4-0314,590,590,590,295,32.54,590,36.1,590,36.1,590,36.1
MultiArith_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,propcalc,random,1,gpt-3.5-turbo-0301,280,280,15,280,15.71,15,0.0,280,15.71,15,0.0
MultiArith_adjusted_position-propcalc_perturbation-random_letter_perturbation-typo10_annotated.csv,awps,propcalc,random,1,gpt-4-0314,295,295,295,295,52.2,295,52.2,295,52.2,295,52.2
test_adjusted_position-calc_perturbation-add101_annotated.csv,gsm8k,calc,add101,0,gpt-4-0314,328,328,295,260,96.92,227,97.8,260,96.92,227,97.8
test_adjusted_position-calc_perturbation-add101_annotated.csv,gsm8k,calc,add101,0,claude-3-opus-20240229,299,299,299,223,89.69,223,89.69,223,89.69,223,89.69
test_adjusted_position-calc_perturbation-add101_annotated.csv,gsm8k,calc,add101,0,meta-llama/Llama-3-70b-chat-hf,298,298,298,271,79.34,271,79.34,271,79.34,271,79.34
test_adjusted_position-calc_perturbation-add1_annotated.csv,gsm8k,calc,add1,0,gpt-4-0314,595,595,296,529,81.66,230,79.57,529,81.66,230,79.13
test_adjusted_position-calc_perturbation-add1_annotated.csv,gsm8k,calc,add1,0,claude-3-opus-20240229,299,299,299,223,67.71,223,67.71,223,67.71,223,67.71
test_adjusted_position-calc_perturbation-add1_annotated.csv,gsm8k,calc,add1,0,meta-llama/Llama-3-70b-chat-hf,298,298,298,271,31.73,271,31.73,271,31.73,271,31.73
test_adjusted_position-calc_perturbation-random_annotated.csv,gsm8k,calc,random,0,gpt-4-0314,516,516,513,227,78.85,451,79.38,454,79.52,451,79.38
test_adjusted_position-calc_perturbation-random_annotated.csv,gsm8k,calc,random,0,gpt-3.5-turbo-0301,552,552,448,266,10.53,529,12.1,529,12.1,428,11.68
test_adjusted_position-calc_perturbation-random_annotated.csv,gsm8k,calc,random,0,claude-3-opus-20240229,598,598,598,220,69.55,440,73.18,440,73.18,440,73.18
test_adjusted_position-calc_perturbation-random_annotated.csv,gsm8k,calc,random,0,meta-llama/Llama-3-70b-chat-hf,596,596,596,263,42.21,526,42.4,526,42.4,526,42.4
test_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,calc,random,1,gpt-3.5-turbo-0301,828,552,2,818,16.75,2,0.0,552,17.75,2,0.0
test_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,calc,random,1,gpt-4-0314,513,513,513,451,83.59,451,83.59,451,83.59,451,83.59
test_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,calc,random,1,claude-3-opus-20240229,290,290,290,220,98.64,220,98.64,220,98.64,220,98.64
test_adjusted_position-calc_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,calc,random,1,meta-llama/Llama-3-70b-chat-hf,292,292,292,262,52.29,262,52.29,262,52.29,262,52.29
test_adjusted_position-copy_perturbation-add101_annotated.csv,gsm8k,copy,add101,0,gpt-4-0314,295,295,295,293,96.93,293,96.93,293,96.93,293,96.93
test_adjusted_position-copy_perturbation-add1_annotated.csv,gsm8k,copy,add1,0,gpt-4-0314,295,295,295,292,96.92,292,96.92,292,96.92,292,96.92
test_adjusted_position-copy_perturbation-random_annotated.csv,gsm8k,copy,random,0,gpt-4-0314,590,590,590,279,95.34,558,93.55,558,93.55,558,93.91
test_adjusted_position-copy_perturbation-random_annotated.csv,gsm8k,copy,random,0,gpt-3.5-turbo-0301,600,600,300,292,65.07,584,65.58,584,65.58,292,64.38
test_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,copy,random,1,gpt-3.5-turbo-0301,565,298,0,557,70.92,31,70.97,298,71.14,0,
test_adjusted_position-copy_perturbation-random_letter_perturbation-typo10_annotated.csv,gsm8k,copy,random,1,gpt-4-0314,295,295,295,279,95.7,279,95.7,279,95.7,279,96.42
test_adjusted_position-propcalc_perturbation-add101_annotated.csv,gsm8k,propcalc,add101,0,gpt-4-0314,294,294,294,293,63.48,293,63.48,293,63.48,293,64.16
test_adjusted_position-propcalc_perturbation-add1_annotated.csv,gsm8k,propcalc,add1,0,gpt-4-0314,294,294,294,294,23.81,294,23.81,294,23.81,294,23.81
