method,examples,top1_accuracy,avg_confidence,ece,avg_true_probability
rank_only,1000,0.252,0.6004090358732942,0.36038628749775115,
softmax,1000,0.252,0.022614854602735213,0.22938514539726482,0.013441138381452333
temp_softmax_t2,1000,0.252,0.005122460868179026,0.24687753913182098,0.003376246036537777
