model,accuracy_mean,accuracy_std,auroc_mean,auroc_std,ece_mean,ece_std,localization_f1_top2_mean,localization_f1_top2_std,positive_intervention_prob_drop_mean,positive_intervention_prob_drop_std
bag_classifier,0.584,0.03798245208865096,0.6651200901896976,0.011834670556732398,0.08948244204899583,0.02856083516877144,0.11533333333333334,0.05933146064460425,0.07927530291667852,0.002364200800862563
decomposed_ebm,1.0,0.0,1.0,0.0,0.029269127695964448,0.0004287563503288453,0.8671111111111135,0.002572408200620109,0.9745770060941122,0.0017354497836233201
full_position_classifier,1.0,0.0,1.0,0.0,0.029269127695964448,0.0004287563503288453,0.8671111111111135,0.002572408200620109,0.9745770060941122,0.0017354497836233201
scalar_compressed_ebm,0.5833333333333334,0.046197643037521094,0.6739412286935628,0.012725302934731729,0.11145507301516601,0.05106276705362486,0.0,0.0,0.0933607226284944,0.006376242150593691
